cluster,text,frequency
52,became,9
52,illness,9
52,pilot,9
52,covid-19,9
52,diversion,8
52,due,8
52,resulted,8
52,removed,7
52,attendants,7
52,another,6
53,door,116
53,attendant,74
53,slide,36
53,cabin,35
53,captain,28
53,crew,21
53,maintenance,19
53,open,19
53,cockpit,15
53,doors,13
53,opened,12
53,gate,12
53,opening,12
53,passenger,12
53,entry,11
53,main,11
53,first,11
53,closed,11
53,inadvertent,11
53,officer,10
54,attendant,182
54,passenger,93
54,captain,37
54,seat,36
54,passengers,32
54,attendants,31
54,cabin,27
54,company,26
54,crew,25
54,boarding,25
54,carrier,22
54,due,21
54,safety,20
54,row,20
54,service,19
54,gate,19
54,exit,19
54,security,18
54,social,18
54,first,15
55,engine,460
55,pilot,397
55,fuel,233
55,power,157
55,landing,147
55,loss,111
55,failure,104
55,instructor,79
55,airport,76
55,due,65
55,resulting,56
55,landed,56
55,tank,46
55,experienced,44
55,emergency,43
55,takeoff,42
55,resulted,41
55,failed,37
55,reports,36
55,experiences,35
56,engine,34
56,start,16
56,crew,14
56,apu,14
56,captain,13
56,first,10
56,shut,9
56,gate,9
56,right,9
56,officer,9
56,number,8
56,maintenance,7
56,ground,7
56,started,6
56,taxi,6
56,personnel,5
56,fuel,4
56,left,4
56,shutdown,4
56,#1,4
57,fire,128
57,engine,97
57,crew,61
57,warning,45
57,captain,29
57,emergency,23
57,returned,22
57,cargo,22
57,departure,22
57,airport,15
57,declared,15
57,first,14
57,shut,14
57,officer,13
57,number,13
57,pilot,12
57,left,12
57,diverted,12
57,smoke,11
57,start,10
58,electrical,103
58,pilot,79
58,failure,48
58,loss,35
58,landing,34
58,power,32
58,alternator,19
58,gear,18
58,airport,17
58,total,15
58,system,15
58,resulting,14
58,departure,12
58,complete,11
58,resulted,11
58,experiencing,11
58,experiences,10
58,crew,10
58,captain,10
58,due,10
59,generator,43
59,apu,30
59,crew,24
59,captain,19
59,failure,16
59,engine,16
59,electrical,14
59,departure,13
59,power,13
59,returned,12
59,left,10
59,failed,10
59,ac,10
59,airport,9
59,bus,9
59,generators,7
59,right,7
59,single,7
59,experienced,7
59,first,7
60,departure,18
60,crew,15
60,qrh,13
60,emergency,13
60,tail,12
60,temp,11
60,returned,11
60,declared,11
60,engine,10
60,airport,9
60,light,9
60,warning,8
60,high,8
60,comp,7
60,climb,6
60,illuminated,6
60,captain,6
60,compartment,5
60,master,5
60,climbing,5
61,trim,187
61,crew,74
61,captain,63
61,pitch,52
61,departure,40
61,control,37
61,stabilizer,37
61,rudder,30
61,first,30
61,elevator,29
61,pilot,28
61,officer,27
61,autopilot,25
61,returned,25
61,airport,24
61,failure,24
61,return,23
61,emergency,22
61,electric,20
61,system,17
62,airspeed,25
62,pitot,22
62,crew,14
62,system,11
62,static,9
62,altitude,9
62,captain,8
62,indications,7
62,unreliable,7
62,returned,7
62,ice,7
62,normal,6
62,failure,6
62,due,6
62,indication,5
62,data,5
62,experiences,5
62,first,5
62,pitot-static,5
62,pilot,5
63,gear,37
63,nose,17
63,pin,8
63,reports,7
63,crew,6
63,landing,6
63,maintenance,5
63,handle,5
63,mechanic,5
63,takeoff,5
63,captain,4
63,previous,4
63,removed,4
63,return,4
63,lock,4
63,still,4
63,technician,3
63,switch,3
63,right,3
63,main,3
64,maintenance,688
64,technician,255
64,mechanic,223
64,reports,207
64,captain,203
64,engine,194
64,mel,158
64,line,157
64,crew,110
64,found,92
64,due,86
64,installed,84
64,required,82
64,incorrect,80
64,fuel,79
64,gear,78
64,inspection,77
64,control,76
64,(amt),74
64,company,72
65,crew,94
65,captain,60
65,first,60
65,failure,41
65,airspeed,37
65,officer,36
65,captain's,36
65,air,32
65,data,32
65,takeoff,31
65,loss,30
65,computer,28
65,multiple,26
